0.000000000000000000e+00,9.878346920013427734e-01,0.000000000000000000e+00
5.901708453893661499e-02,9.115335345268249512e-01,-3.444020077586174011e-02
-6.840889155864715576e-02,9.142650961875915527e-01,-4.134335741400718689e-02
4.567315801978111267e-03,1.116001605987548828e+00,2.339329198002815247e-02
8.465137332677841187e-02,5.010180473327636719e-01,-4.894948005676269531e-02
-7.217354327440261841e-02,5.370315313339233398e-01,1.048856675624847412e-01
1.312298327684402466e-02,1.262793660163879395e+00,8.870922774076461792e-02
-5.025297403335571289e-03,3.650129139423370361e-01,-4.624485969543457031e-01
-9.223547577857971191e-02,1.539858132600784302e-01,-1.029652804136276245e-01
1.322825253009796143e-02,1.302453756332397461e+00,1.393130868673324585e-01
-2.440631389617919922e-03,2.216811031103134155e-01,-5.061244368553161621e-01
-1.168245598673820496e-01,8.270597457885742188e-02,3.227426111698150635e-02
-8.991926908493041992e-03,1.518951654434204102e+00,1.943475604057312012e-01
7.307015359401702881e-02,1.423518657684326172e+00,1.558801233768463135e-01
-7.239355891942977905e-02,1.411595344543457031e+00,1.573249101638793945e-01
9.047091007232666016e-04,1.592577815055847168e+00,2.965240478515625000e-01
1.951045989990234375e-01,1.457703948020935059e+00,1.563498228788375854e-01
-1.806808114051818848e-01,1.456258177757263184e+00,1.632530093193054199e-01
2.380285263061523438e-01,1.255666613578796387e+00,-1.824620366096496582e-02
-2.481750547885894775e-01,1.244085550308227539e+00,9.848654270172119141e-03
7.301910221576690674e-02,1.204815745353698730e+00,1.962460279464721680e-01
-1.026697307825088501e-01,1.105929136276245117e+00,2.036159634590148926e-01
